,city,cloudiness,country,date,humidity,latitude,longitude,max temp,wind speed
329,constitucion,5,MX,1551398416,10,23.99,-104.67,80.6,23.04
330,pochutla,40,MX,1551398405,69,15.74,-96.47,82.99,11.41
331,djambala,48,CG,1551398563,92,-2.55,14.76,70.53,3.04
332,emerald,48,AU,1551398007,50,-23.53,148.16,80.01,10.29
333,timiryazevskoye,20,RU,1551398432,85,56.49,84.88,21.2,6.71
334,buraydah,0,SA,1551394800,76,26.33,43.97,50,6.93
335,zhigansk,68,RU,1551398564,69,66.77,123.37,-5.53,7.4
336,isla mujeres,40,MX,1551397989,65,21.23,-86.73,80.6,8.05
337,san cristobal,75,EC,1551398511,72,-0.39,-78.55,64.4,10.29
338,vila franca do campo,75,PT,1551398535,93,37.72,-25.43,60.8,12.75
339,toowoomba,75,AU,1551398465,64,-27.56,151.95,78.01,17.22
340,college,1,US,1551398312,78,64.86,-147.8,36,4.61
341,sioux lookout,75,CA,1551394800,72,50.1,-91.92,14,6.93
342,hofn,92,IS,1551398565,100,64.25,-15.21,39.66,8.19
343,barranca de upia,92,CO,1551398565,43,4.57,-72.97,78.22,1.7
344,north bend,75,US,1551398466,87,43.41,-124.22,45,5.82
345,ranong,20,TH,1551394800,94,9.96,98.62,73.4,2.24
346,lillehammer,88,NO,1551398431,75,61.11,10.47,28.99,1.99
347,quelimane,75,MZ,1551394800,83,-17.88,36.89,80.6,3.36
348,sao joao da barra,75,BR,1551394800,88,-21.64,-41.05,77,4.7
349,gaeta,40,IT,1551398467,93,41.22,13.56,54,5.82
350,leningradskiy,88,RU,1551398566,100,69.38,178.42,4.74,20.27
351,rajgir,0,IN,1551398567,75,25.03,85.42,53.29,6.4
352,dukat,0,RS,1551398462,71,42.44,22.31,32,2.48
353,bukama,64,CD,1551398567,96,-9.2,25.85,67.2,2.93
354,dongsheng,92,CN,1551398567,99,29.72,112.52,45.37,6.96
355,luderitz,0,NA,1551398567,75,-26.65,15.16,62.52,16.8
356,port keats,0,AU,1551398568,100,-14.25,129.55,81.15,10.42
357,aconibe,88,GQ,1551398568,97,1.29,10.94,68.32,1.36
358,manga,56,BF,1551398568,20,11.67,-1.07,73.23,9.42
359,benguela,80,AO,1551398568,100,-12.58,13.4,78.04,3.49
360,san patricio,0,PY,1551398568,62,-26.98,-56.83,66.52,3.38
361,millville,1,US,1551398546,55,39.4,-75.04,36,8.05
362,staryy nadym,68,RU,1551398569,74,65.61,72.68,2.67,11.21
363,ossora,12,RU,1551398569,100,59.24,163.07,-1.75,3.71
364,mogzon,0,RU,1551398569,54,51.74,111.97,7.35,2.59
365,homer,1,US,1551398260,64,59.64,-151.54,39.99,4.7
366,yenagoa,92,NG,1551398570,97,4.92,6.26,70.62,3.94
367,lodja,88,CD,1551398570,95,-3.52,23.6,69.85,1.92
368,aranda de duero,8,ES,1551398570,81,41.67,-3.69,33.85,2.37
369,lata,0,IN,1551398570,68,30.78,78.62,22.65,2.93
370,slobozia,12,RO,1551398418,13,44.56,27.36,46,1.99
371,groton,1,US,1551398531,38,42.61,-71.57,26.6,5.82
372,vanavara,32,RU,1551398571,69,60.35,102.28,8.61,2.59
373,duki,100,PK,1551398571,88,30.15,68.58,45.33,2.82
374,mehamn,90,NO,1551394200,73,71.03,27.85,24.8,20.8
375,coihaique,0,CL,1551394800,58,-45.58,-72.07,57.2,3.36
376,wamba,24,CD,1551398572,94,2.14,27.99,68.19,2.71
377,wegrow,56,PL,1551398510,78,52.4,22.02,39,4
378,kogon,32,UZ,1551394800,70,39.73,64.54,46.4,9.17
379,laguna,5,MX,1551397200,26,27.52,-110.01,78.8,9.17
380,kutum,0,SD,1551398573,31,14.2,24.66,62.88,10.54
381,abapo,68,BO,1551398573,82,-18.83,-63.47,68.14,1.36
382,kholodnyy,20,RU,1551398573,72,62.72,147.95,-18.94,3.6
383,goure,92,NE,1551398573,42,13.98,10.27,77.46,5.39
384,ayni,64,TJ,1551398573,71,39.39,68.54,20.8,2.93
385,louga,0,SN,1551394800,12,15.62,-16.22,78.8,6.93
386,torbay,75,CA,1551398517,73,47.66,-52.73,21,27.51
387,boyolangu,56,ID,1551398574,95,-8.09,111.9,75.03,3.15
388,penzance,0,GB,1551398463,87,50.12,-5.53,51.01,16.11
